Pile No.,Sample 1,Sample 2,Sample 3
23,6180,6030,6060
17,6190,6060,
27,6050,6020,
63,6400,,6350
30,6220,6140,6060
59,6300,6110,6070
37,6210,6080,6120
48,6240,6290,6200
51,6160,6050,6130
57,6190,6050,6190
1,6190,6120,6020
44,6510,6070,6240
24,6150,6060,6080
62,6190,6020,6060
2,6240,6290,6260
60,6120,6230,6240
25,6200,6310,6080
45,6230,6090,6000
3,6190,6050,6100
22,6030,6200,6120
26,6220,6050,6090
46,6220,6000,6230
61,6130,6060,6180
43,6160,6040,6100
28,6050,6150,6210
47,6220,6300,6040
64,6040,6110,6270
42,6160,6050,6200
65,6230,6160,6240
41,6050,6020,6110
4,6180,6020,6090
66,6170,6330,6410
21,6170,6270,6230
67,6410,6110,6290
5,6210,6220,6300
69,6090,6240,6040
68,6490,6200,6350
58,6100,6190,6050
6,6140,6080,6240
40,6090,6270,6160
20,6330,6350,6230
11,,6370,6450
12,6270,6170,6350
10,6310,6160,6450
13,6310,6450,6210
49,6320,6120,6220
7,6130,6400,6080
19,6270,6100,6340
14,6050,6270,6210
9,6350,6260,6290
8,6270,6090,6180
15,6320,6180,6400
16,6030,6150,6080
18,6400,6230,6200
39,6350,6230,6330
34,6340,6210,6390
32,6130,6320,6220
36,6310,6230,6350
50,6170,6390,6230
33,6380,6210,6310
31,6220,6060,6170
38,6010,6110,6180
35,6050,6160,6000
52,6280,6130,6360
53,6170,6380,6220
54,6370,6490,6250
56,6090,6340,6150
70,6120,6050,6200
